year,inflation,Trade_to_GDP,Exports_to_GDP,Imports_to_GDP,population,Exports_USD_current,Exports_USD_constant,Imports_USD_current,Imports_USD_constant,iso3c,IncomeGroup
2001,4.22598834854679,58.708303761533,36.6903241069316,22.0179796546014,31451514,20085475620.022,58796999391.069,12053357508.2562,21797897101.8991,DZA,Upper middle income
2002,1.41830192345045,61.1373988413744,35.5061247954716,25.6312740459028,31855109,20152606611.2798,62030834357.5778,14547827614.7687,26855009229.5397,DZA,Upper middle income
2003,4.268953958395,62.1227986673013,38.2484531175631,23.8743455497382,32264157,25957749208.6052,66683146934.3961,16202597066.994,28224614700.2463,DZA,Upper middle income
2004,3.96180030257191,65.7006716430047,40.053015888504,25.6476557545007,32692163,34175142575.6588,68817007636.2969,21883802572.606,31752691537.777,DZA,Upper middle income
2005,1.38244656662119,71.2774398307326,47.2044432689765,24.0729965617561,33149724,48714250037.188,72877211086.8383,24842957409.1487,33784863796.1948,DZA,Upper middle income
2006,2.31149918514421,70.7277196861878,48.8090897328832,21.9186299533046,33641002,57121737287.0857,71346789654.015,25651579014.0213,33278090839.2518,DZA,Upper middle income
1967,,45.066186093677,23.434416768712,21.631769324965,13275026,789937412.651152,21998348614.6522,729172996.293371,6734495743.62512,DZA,Upper middle income
1968,,47.3228889614156,23.1356346033587,24.1872543580569,13663583,891211439.91412,24952564425.8216,931721050.819307,8004113955.38975,DZA,Upper middle income
1969,,51.8595349042921,23.7887768242961,28.070758079996,14061722,1012740272.62968,27220977814.298,1195033582.46744,9660137896.71748,DZA,Upper middle income
1970,6.59999999900016,51.2254018061269,22.0727334005425,29.1526684055845,14464985,1073504628.22305,28276056077.5576,1417836381.68155,10874555488.2695,DZA,Upper middle income
1971,2.62664165105633,46.1062966825765,18.4425191541398,27.6637775284367,14872250,936367707.527582,20943272517.2482,1404551500.22391,10046543517.6057,DZA,Upper middle income
1972,3.65630712983235,46.1764302847485,20.4495619832458,25.7268683015027,15285990,1382755698.29163,29014607901.8367,1739595878.49592,11702566300.5576,DZA,Upper middle income
1973,6.17283950622714,57.0934265311372,25.5036630012744,31.5897635298628,15709825,2222671246.71651,30597223186.884,2753081354.81916,14683409076.3324,DZA,Upper middle income
1974,4.699612403417,74.2388192371426,38.7490436138728,35.4897756232698,16149025,5118637700.91848,28750839366.0479,4688097732.49139,19817081553.1798,DZA,Upper middle income
1975,8.2303166526514,76.6545354056848,33.6889362162921,42.9655991893928,16607707,5241302552.28642,28909100497.4791,6684559679.95139,23073928706.9478,DZA,Upper middle income
1976,9.43073540174554,70.1732568821597,33.0545839253536,37.1186729568061,17085801,5860031461.64561,29911422923.823,6580527282.77055,22025114193.6865,DZA,Upper middle income
1977,11.989283322105,72.3268842306998,30.58656693011,41.7403173005898,17582904,6414584619.46561,29753161842.1816,8753738135.42973,26661979698.0758,DZA,Upper middle income
1978,17.5239234455033,65.7045688895451,25.5358367212767,40.1687321682685,18102266,6732393454.19703,31546791935.944,10590281903.225,28759611041.35,DZA,Upper middle income
1979,11.3486005086091,64.0140492853508,31.1483002053416,32.8657490800092,18647815,10354760932.188,33815207428.0388,10925699711.9352,26330775858.2459,DZA,Upper middle income
1980,9.51782449754965,64.6769231605018,34.3384614657894,30.3384616947124,19221665,14540716742.671,29436639629.1089,12846905745.9283,27213988451.5922,DZA,Upper middle income
1981,14.6548426360635,65.4649936353318,34.5872507738721,30.8777428614597,19824301,15338986630.5204,29524949231.0469,13693869108.8558,31649867007.1505,DZA,Upper middle income
1982,6.54250963007668,59.9229312690034,30.9248563230201,28.9980749459833,20452902,13980227233.1344,32536493162.1981,13109185466.6609,31111820132.3971,DZA,Upper middle income
1983,5.96716393032723,53.7441173561114,27.9418061120348,25.8023112440766,21101875,13635984129.6358,34553757098.9096,12591881327.2636,33040754173.1005,DZA,Upper middle income
2010,3.91106195534027,69.8675717597612,38.4450522874727,31.4225194722885,35977455,61975371709.7303,61975371709.7303,50654693087.4089,50654693087.4089,DZA,Upper middle income
2011,4.52421150505276,67.4734554826681,38.7875547512801,28.685900731388,36661444,77581065536.5729,60302036673.5676,57376206334.4297,48324577205.3881,DZA,Upper middle income
2012,8.89145091062314,65.4038581360773,36.8898019111777,28.5140562248996,37383887,77122884853.4874,58010559279.9721,59612309120.9245,54993368859.7318,DZA,Upper middle income
2013,3.25423910998847,63.6110260152932,33.2101946792088,30.4008313360844,38140132,69659965427.0465,54703957401.0137,63767191980.6875,60382719007.9855,DZA,Upper middle income
2014,2.91692692067457,62.1458629596308,30.2191136779174,31.9267492817134,38923687,64611126968.565,54813365315.8157,68262202310.7758,65454867404.6564,DZA,Upper middle income
2015,4.78444700693894,59.6950803585319,23.1717386881754,36.5233416703565,39728025,38460086958.7671,55087432142.3948,60620867323.3265,69971253255.5776,DZA,Upper middle income
2016,6.39769480268749,55.9256615946787,20.8724199948614,35.0532415998173,40551404,33402745353.5216,58943552392.3624,56096729716.1722,68012058164.4214,DZA,Upper middle income
2017,5.59111590961673,55.8791545989944,22.6612043626654,33.217950236329,41389198,37932650284.3034,55347995696.4283,55603615293.8102,63183202034.7474,DZA,Upper middle income
2018,4.26999020467078,57.9645690084949,25.6235469492722,32.3410220592228,42228429,44522950620.0158,52968031881.4819,56195097852.5445,60908606761.4967,DZA,Upper middle income
2019,,,,,,,,,,DZA,Upper middle income
2007,3.67899574741703,71.9373463059981,47.0672511493638,24.8700951566342,34166972,63530776824.0096,70633321757.4748,33569338051.5035,37238183649.1229,DZA,Upper middle income
2008,4.85859062814938,76.6858332956037,47.9739213111785,28.7119119844252,34730608,82034225831.0262,68938122035.2949,49096663507.9309,42972863931.0878,DZA,Upper middle income
2009,5.73706036145632,71.3230942086414,35.3711264709128,35.9519677377286,35333881,48534427935.4801,61975371709.7303,49331428241.0658,48473390514.2671,DZA,Upper middle income
1967,3.81813815731006,22.1387791434791,10.1071865699827,12.0315925734963,5560012,258096721.244296,1204079204.34671,307238277.740818,2520793093.55541,ECU,Upper middle income
1968,4.31765612971037,24.9603730109499,11.0421655960631,13.9182074148867,5725459,285128679.283701,1236038569.88856,359393278.762107,2835255431.98796,ECU,Upper middle income
1969,6.32668144851304,20.6053027076117,8.502945502182,12.1023572054297,5895367,264625851.047958,1085256952.63144,376645548.810278,2835910650.66334,ECU,Upper middle income
1970,5.1299874877938,22.4512535597798,9.44122815724685,13.010025402533,6069376,270255549.700304,1087293077.42896,372412519.665427,2927079823.19185,ECU,Upper middle income
1971,8.38402539015844,27.2705147299212,10.5804061171855,16.6901086127357,6247418,291407689.18989,1201727675.05006,459682353.332894,3523845198.30582,ECU,Upper middle income
1972,7.88189360668076,27.9579897376635,12.4079121734925,15.550077564171,6429379,395314497.957741,2184129880.95727,495423486.202346,3322158416.26782,ECU,Upper middle income
1973,13.0117620450221,34.537634740314,17.8780376822995,16.6595970580145,6614843,695769524.079063,4600472975.51438,648350793.436342,3929015133.28552,ECU,Upper middle income
1974,23.3213542652818,41.404370100132,22.6520505462625,18.7523195538694,6803280,1494867579.72302,5645926854.57718,1237514214.81401,5772960027.90104,ECU,Upper middle income
1975,15.3629856851263,35.4050500448307,16.0708936407758,19.3341564040548,6994334,1242549628.58996,4558044372.60157,1494854573.48835,6091056516.01265,ECU,Upper middle income
1976,10.6713937513738,34.0139042731574,16.0356359447623,17.9782683283951,7187787,1457947881.89667,4677991851.17862,1634570547.73776,6212185501.57902,ECU,Upper middle income
1977,13.0140551797556,34.4422102372902,16.3028768282836,18.1393334090066,7383724,1797611703.14602,4747070307.60149,2000105770.70224,7287199615.79207,ECU,Upper middle income
1978,11.6500726357789,33.2958288169454,14.7319827064124,18.563846110533,7582353,1756420957.9504,5054056307.5005,2213274955.48266,7562336654.91598,ECU,Upper middle income
1979,10.2662562280033,36.0795817670218,17.908078493992,18.1715032730298,7784072,2538499855.29063,5200746190.71477,2575840755.02433,7739687787.19291,ECU,Upper middle income
1980,13.0489840555974,35.0250095913135,17.1480264889783,17.8769831023352,7989186,3066326874.45054,5220429136.35008,3196675358.29975,8469842531.52577,ECU,Upper middle income
1981,16.3874745418229,29.915273689661,14.6178458363348,15.2974278533261,8197652,3188264326.3875,5264439632.87053,3336486378.11021,8205416734.50218,ECU,Upper middle income
1982,16.2579695928846,32.4129455881689,14.6564911171017,17.7564544710672,8409397,2921017218.81401,5006610459.27324,3538835376.1259,8435519059.54016,ECU,Upper middle income
1983,48.4338747103122,30.8760173448129,15.5596149638646,15.3164023809484,8624594,2668860344.89493,4921681404.54627,2627143347.43503,6552611793.43247,ECU,Upper middle income
1984,31.2302390849475,33.05830053321,17.3764203987504,15.6818801344596,8843462,2938789738.24893,5056574672.38164,2652200358.76398,6317049718.72584,ECU,Upper middle income
1985,27.98321602596,35.7173093974088,19.6813709732654,16.0359384241434,9066109,3375176924.81068,5434682560.16897,2750018248.74772,6854957457.88479,ECU,Upper middle income
1986,23.0302261143747,33.1106044808965,15.6294034750431,17.4812010058534,9292474,2393509352.64328,6066038340.75917,2677096292.87895,6820384320.79053,ECU,Upper middle income
1987,29.503997249272,37.7307228547875,15.3660870665061,22.3646357882814,9522360,2142867204.8233,5451077505.23413,3118845049.56296,8045839322.2039,ECU,Upper middle income
1988,58.2162865411676,42.6623014756666,19.0058510014465,23.6564504742201,9755579,2480622111.01514,7490844676.714,3087613078.20517,6662496106.081,ECU,Upper middle income
1989,75.6481901022001,45.1129811864879,20.2830489687176,24.8299322177703,9991870,2817483588.93319,7590715867.36531,3449083352.5959,6966583336.90097,ECU,Upper middle income
2003,7.92941000523413,47.2416306944026,22.5984000546606,24.643230639742,13369678,7329307000,14542814343.9923,7992504000,12775949409.1573,ECU,Upper middle income
2004,2.74218132941644,50.6652403671973,24.5543485987149,26.1108917684824,13596388,8984844000,17041033523.8581,9554409000,14165576878.7467,ECU,Upper middle income
2005,2.4077697831569,56.0998297037723,27.618174102084,28.4816556016882,13825847,11463499000,18512192143.4062,11821905000,16204759888.3256,ECU,Upper middle income
2006,3.29874846258218,59.7097831881018,30.3330747691276,29.3767084189742,14059384,14196499000,19831370852.1559,13748900000,17788534253.6718,ECU,Upper middle income
2007,2.2761847800212,62.5871384279303,31.9317679733426,30.6553704545877,14296557,16287685000,19834784283.8589,15636623000,19043508196.0775,ECU,Upper middle income
2008,8.40009593987462,68.0569473760308,34.1636395532671,33.8933078227637,14535739,21100364000,20426643870.9337,20933400000,21793240540.6282,ECU,Upper middle income
2009,5.15996829181046,52.1048490230741,25.2491079369784,26.8557410860957,14774424,15785663000,19448545292.4394,16790125000,19631506063.3029,ECU,Upper middle income
2010,3.55437734567846,60.3032387134123,27.8949559708311,32.4082827425812,15011117,19402439000,19402439000,22541700000,22541700000,ECU,Upper middle income
2011,4.47453265795836,64.4902388929988,31.121199802252,33.3690390907468,15243883,24671849000,20502122968.4665,26453861000,23363664520.9938,ECU,Upper middle income
2012,5.1017218095867,61.7511124083851,30.164809271004,31.5863031373811,15474102,26522271000,21622887891.6995,27772113000,23558718736.2918,ECU,Upper middle income
2013,2.72177577710365,59.6061560569664,28.6382882966079,30.9678677603585,15707474,27243506000,22176078156.5134,29459627000,25199811339.0694,ECU,Upper middle income
2014,3.58922016616669,57.7081689892069,28.0518541458062,29.6563148434008,15951838,28536122000,23554305702.1691,30168281000,26397962720.6252,ECU,Upper middle income
2015,3.96664623255354,45.243877148583,21.2582213779601,23.9856557706229,16212020,21107369000,23404192645.0279,23815449000,24244736343.0513,ECU,Upper middle income
2016,1.72826463324535,38.5213403358829,19.5047912651498,19.016549070733,16491115,19492639000,23736784862.7004,19004701000,21912311311.3964,ECU,Upper middle income
2017,0.417335588666803,42.4217213910174,20.8328178926217,21.5889034983957,16785361,21727767000,23906987603.3252,22516333000,24593591572.5484,ECU,Upper middle income
2018,-0.224103246005465,45.8665551000923,22.8197630625449,23.0467920375474,17084357,24736180000,24110496571.9477,24982275000,26030885591.8325,ECU,Upper middle income
2019,,,,,,,,,,ECU,Upper middle income
1993,44.9999999999999,43.1712184234683,20.0358408321345,23.1353775913338,10961466,3794531265.63282,9987159251.80508,4381543771.88594,7966518890.36829,ECU,Upper middle income
1994,27.4425287356321,43.7777474951998,20.279818070143,23.4979294250568,11208001,4605277638.81941,11274672079.5083,5336068034.01701,9239288474.56706,ECU,Upper middle income
1995,22.8861330326945,45.9112707318244,21.2869033721764,24.624367359648,11455204,5201004502.25113,12442596673.1413,6016443221.61081,10276877180.0544,ECU,Upper middle income
1996,24.3730886850156,44.2157026832153,22.2732846879762,21.9424179952391,11703174,5618746373.18659,12178491071.789,5535280640.32016,8982301479.90263,ECU,Upper middle income
1997,30.6429800835987,45.0171863180765,21.5349262106698,23.4822601074067,11951452,6064677338.66933,13029274614.8731,6613086543.27163,10824829981.731,ECU,Upper middle income
1998,36.0984331623782,43.395107949805,17.8919508668257,25.5031570829793,12198449,5006507253.62681,12412127867.8579,7136267133.56678,11531882787.3031,ECU,Upper middle income
1999,52.2423509075189,49.2012507989376,26.3775416402476,22.82370915869,12442115,5181939969.98499,13359276618.7631,4483779889.94497,7888328649.85379,ECU,Upper middle income
2000,96.0941136930836,59.464699296633,32.1275352850362,27.3371640115967,12681123,5888259129.56478,13698090464.1812,5010291145.57279,8899748798.31896,ECU,Upper middle income
2001,37.6780209421416,50.7450571604332,23.2227470913006,27.5223100691326,12914667,5682217000,13480680559.815,6734248000,11188976894.6633,ECU,Upper middle income
2002,12.4840185721018,49.3765496413265,21.4923738863205,27.884175755006,13143465,6135846000,13564770565.5076,7960638000,13316559620.8826,ECU,Upper middle income
1990,48.5191129964557,44.5949122940278,22.7643720219304,21.8305402720974,10230934,3469125960.22029,7638503911.20747,3326816742.87386,6858233551.26169,ECU,Upper middle income
1991,48.8038277511962,45.196639984556,23.6745835890502,21.5220563955058,10472475,4021964982.49125,8912222967.62995,3656282141.07054,7666713720.6313,ECU,Upper middle income
1992,54.3408360128618,44.8065436522069,24.1337401413123,20.6728035108946,10716129,4366816408.2041,9403844812.87873,3740586293.14657,8010631670.37009,ECU,Upper middle income
1963,5.93950905922401,19.1902971184512,9.23332167612188,9.95697544232937,4948986,168447595.433591,959654088.903183,181649533.059066,1761870149.96839,ECU,Upper middle income
1964,4.03420453764312,19.0445120385245,8.90005389015163,10.1444581483728,5093854,199730280.617423,995559964.658085,227656539.802333,1934589749.81284,ECU,Upper middle income
1965,3.0690706617574,19.2701382788243,8.97965718654229,10.290481092282,5243977,214348750.216904,1081416080.85431,245638749.390908,2025589048.88263,ECU,Upper middle income
1966,5.45372692773339,21.6000691886193,10.4856999890863,11.114369199533,5399422,254730107.424295,1122312719.05703,270002428.364061,2091157195.80671,ECU,Upper middle income
1962,2.8708853146098,21.0358891027468,10.2414994773775,10.7943896253692,4809201,155487287.042826,1045112723.07998,163881310.72401,1829590558.57847,ECU,Upper middle income
1960,1.67659912611287,19.911646591887,9.54757459967307,10.3640719922139,4543666,197583745.854204,899501809.963234,214480876.283951,1658336063.72798,ECU,Upper middle income
1961,3.98562050634917,19.1091583917772,8.95749302325059,10.1516653685266,4674172,157101028.714894,862933464.175952,178045025.368732,1646778013.22001,ECU,Upper middle income
1965,,,,,1294566,,,,,EST,High income
1964,,,,,1277086,,,,,EST,High income
1969,,,,,1345249,,,,,EST,High income
1966,,,,,1308597,,,,,EST,High income
1967,,,,,1318946,,,,,EST,High income
1968,,,,,1331214,,,,,EST,High income
1960,,,,,1211537,,,,,EST,High income
1961,,,,,1225077,,,,,EST,High income
1962,,,,,1241623,,,,,EST,High income
1963,,,,,1258857,,,,,EST,High income
1989,,,,,1568131,,,,,EST,High income
1990,,,,,1569174,,,,,EST,High income
1991,,,,,1561314,,,,,EST,High income
1992,,,,,1533091,,,,,EST,High income
1993,89.8119490277274,132.327848971236,64.2245770102164,68.1032719610191,1494128,2573467584.01694,4726165563.44927,2728886213.28394,3803573538.39077,EST,High income
1994,47.6546906187628,148.36890811174,69.2026478589923,79.1662602527475,1462514,2848889768.45438,4892467521.20764,3259065307.73798,4268142994.67378,EST,High income
1995,28.7766137208514,139.246631407142,65.9767529510118,73.2698784561297,1436634,2967518174.66562,5157225973.01407,3295550118.01731,4496134754.02686,EST,High income
1996,23.050343349517,133.140165430699,61.3542350989095,71.7859303317892,1415594,2932836649.7594,5289928155.57283,3431489400.44219,4849202949.65093,EST,High income
1997,10.5818789322146,151.248223853239,70.4741030390431,80.7741208141957,1399535,3627803313.79621,6635010243.39926,4158018485.12173,6275015159.08607,EST,High income
1998,8.20833333333299,157.064208330773,73.7404343490292,83.3237739817435,1386156,4178071976.86061,7508239009.67224,4721056068.5282,7090260075.69407,EST,High income
1999,3.29611089718906,143.988004469414,69.8038344808807,74.1841699885338,1390244,4022130536.62692,7543841786.1193,4274527576.66099,6684034879.8154,EST,High income
2000,4.0184895250876,126.329228220967,61.5463332477854,64.7828949731819,1396985,3504491200.5897,7019538839.6684,3688783285.72745,6326293055.87064,EST,High income
2001,5.74827981651377,126.363875642654,61.2068569263879,65.1570187162659,1388115,3831095246.62071,7464073353.26397,4078346074.6576,7108566971.22069,EST,High income
2002,3.57191270164023,123.243251364468,57.9206508757039,65.3226004887639,1379350,4270175190.73184,7674610199.01486,4815880757.27607,8053016019.11164,EST,High income
2003,1.33499116549964,122.731834635668,57.1413194210929,65.5905152145753,1370720,5644211833.785,8455313310.29023,6478792682.92683,9180666675.38097,EST,High income
2004,3.04811107523412,129.994411962063,61.0869516296654,68.9074603323977,1362550,7418642236.02484,9917432507.92384,8368395900.62112,10662039983.3409,EST,High income
2005,4.07971423199846,136.02042160553,65.4743010611721,70.5461205443581,1354775,9230780624.30046,11893222392.8471,9945822285.78535,12442531249.1476,EST,High income
2006,4.43762042389211,136.727946093696,63.3059913911719,73.4219547025245,1346810,10769818968.7618,13026580027.8896,12490779199.5985,15018477732.1424,EST,High income
2007,6.60132603055634,134.008773928641,62.6084637255945,71.4003102030461,1340680,14052834656.4468,14669939820.6823,16026215849.9863,16968169383.1356,EST,High income
2008,10.3623580313683,136.522912981454,66.3115573830274,70.2113555984266,1337090,16160988574.7766,14801658120.6908,17111420096.675,15923297716.0727,EST,High income
2009,-0.0784083112810205,116.107838391064,60.5219565723599,55.5858818187045,1334515,11949521950.5418,11795656604.0737,10974937899.4165,11049883083.8055,EST,High income
1970,,,,,1360076,,,,,EST,High income
1971,,,,,1376955,,,,,EST,High income
1972,,,,,1392518,,,,,EST,High income
1973,,,,,1405951,,,,,EST,High income
1974,,,,,1418169,,,,,EST,High income
1975,,,,,1429352,,,,,EST,High income
1976,,,,,1439576,,,,,EST,High income
1977,,,,,1450211,,,,,EST,High income
1978,,,,,1460188,,,,,EST,High income
1979,,,,,1468333,,,,,EST,High income
1980,,,,,1477219,,,,,EST,High income
1981,,,,,1487666,,,,,EST,High income
1982,,,,,1498414,,,,,EST,High income
1983,,,,,1508745,,,,,EST,High income
1984,,,,,1518617,,,,,EST,High income
1985,,,,,1528781,,,,,EST,High income
1986,,,,,1540190,,,,,EST,High income
1987,,,,,1552221,,,,,EST,High income
1988,,,,,1561900,,,,,EST,High income
2015,-0.492326006547338,149.841573191308,76.8734131563936,72.9681600349145,1315407,17718448637.0757,19821570814.6792,16818332146.7758,19360970561.9123,EST,High income
2016,0.148684907627356,150.998038129626,77.4537942698225,73.5442438598038,1315790,18586162175.0196,20824647139.3347,17648008807.1047,20530423035.4276,EST,High income
2017,3.41723549488057,147.995115138848,76.1376865328606,71.8574286059871,1317384,20399385968.0698,21621491879.8403,19252586827.3382,21388195467.3468,EST,High income
2018,3.43632688420445,145.000501615964,74.2567080764856,70.7437935394783,1320884,22820678848.528,22549550075.7015,21741084875.8353,22603917959.2319,EST,High income
2019,,,,,,,,,,EST,High income
2011,4.9819013145361,165.880632640275,85.8218638462488,80.0587687940266,1327439,20077890760.5607,18194125353.1555,18729623690.6617,17041644780.1514,EST,High income
2012,3.93339987296979,169.491761810149,85.5675634123131,83.9241983978361,1322696,19845436184.9581,19072223407.5205,19464295315.418,18692664821.0171,EST,High income
2013,2.78056658954996,165.380586594747,84.0234024702817,81.3571841244654,1317997,21233896214.045,19606249421.288,20560105318.0019,19149883584.0549,EST,High income
2010,2.97204512015696,142.499049356199,74.4333837979562,68.0656655582427,1331475,14652236758.6784,14652236758.6784,13398749270.939,13398749270.939,EST,High income
2014,-0.106175146521716,159.195188877576,81.3308981156804,77.8642907618956,1314545,21775106016.6113,20123947079.0613,20846974834.0531,19733356319.1228,EST,High income
1975,9.66969548151244,53.7142426412392,18.1679418083142,35.546300832925,38549142,2113327487.94388,2725701377.46965,4134809294.16922,11163531017.9539,EGY,Lower middle income
1976,10.3174158877413,45.0854637114817,17.167317960803,27.9181457506786,39422730,2285998013.90268,3063268792.12568,3717576961.2711,9657345022.05226,EGY,Lower middle income
1977,12.7321627929891,52.9519238967588,21.5861338140538,31.365790082705,40329589,3108577442.55394,4308366693.41976,4516926854.93773,11404402412.9762,EGY,Lower middle income
1970,3.76289859580536,30.6627936031984,13.568215892054,17.0945777111444,34513850,1091183119.81914,1958195199.58031,1374780205.9784,7791778931.82865,EGY,Lower middle income
1971,3.14042171394198,31.0246763634209,13.2416980181888,17.7829783452321,35311910,1140015302.21882,2058268711.16107,1530986993.114,7890012578.14625,EGY,Lower middle income
1972,2.10236334610112,30.0853465291485,12.7102388034806,17.3751077256679,36102659,1182006204.75698,2022206184.46529,1615822130.2999,7978280492.22872,EGY,Lower middle income
1973,5.11218403908757,31.6962722041531,13.5351513635226,18.1611208406305,36896554,1366851945.42698,2111460938.03733,1834007074.27994,8690118509.02286,EGY,Lower middle income
1974,10.0243177516484,51.6648281140953,20.367410342421,31.2974177716743,37708146,1879700810.30542,2210632886.4507,2888427176.39726,9246775838.15588,EGY,Lower middle income
1988,17.66348615313,52.5974025974026,17.3701298701299,35.2272727272727,53399246,6076093128.90403,8312241956.25643,12322544009.0857,16606756260.8388,EGY,Lower middle income
1989,21.2618670886078,50.1298701298701,17.7922077922078,32.3376623376623,54788685,7073523337.46386,9697615615.6325,12856257744.7336,16881248099.8609,EGY,Lower middle income
1990,16.7563747077691,52.9227557411273,20.3549060542798,32.5678496868476,56134475,8748317631.22476,10390302445.3205,13997308209.9596,17498854737.6607,EGY,Lower middle income
1978,11.078100382614,53.8393825871563,19.9031709963356,33.9362115908207,41275736,2947998787.14372,4423716362.74946,5026531231.04912,11405586056.195,EGY,Lower middle income
1979,9.90436051231126,69.4642630644343,26.4927384576357,42.9715246067986,42267435,4774142857.14286,5058704983.61834,7743714285.71429,12859099928.8609,EGY,Lower middle income
1980,20.8192249324219,73.3830375611798,30.514638285394,42.8683992757858,43309063,6612494097.00882,5919308007.75607,9289542760.04099,13904209641.2859,EGY,Lower middle income
1981,10.3172842245395,74.459577429536,30.961436324455,43.498141105081,44400113,6853648648.64865,7677255565.31357,9628783783.78378,16903016985.8337,EGY,Lower middle income
1982,14.8230088495577,64.2019950124688,26.3332739579622,37.8687210545066,45539296,7282512315.27093,6877869144.94756,10472660098.5222,14676406515.6066,EGY,Lower middle income
1983,16.079873883342,57.1428571428571,22.9323308270677,34.2105263157895,46728286,7101280558.78929,7391493627.37879,10593713620.4889,15620799568.7522,EGY,Lower middle income
1984,17.0363663799608,52.5316455696203,20.5696202531646,31.9620253164557,47968642,6987744571.05999,7820677128.32336,10857880025.8009,18528881247.3897,EGY,Lower middle income
1985,12.1067560598247,46.112600536193,18.230563002681,27.8820375335121,49258732,7119673332.63533,7906746448.29599,10888912155.7952,18646240033.2338,EGY,Lower middle income
1986,23.8642898217366,36.0544217687075,13.8321995464853,22.2222222222222,50602354,5706267539.75678,8053296912.03316,9167446211.41253,17546864348.194,EGY,Lower middle income
1987,19.693593314763,35.3398058252427,12.621359223301,22.7184466019417,51991700,5106048703.84918,7476399848.43286,9190887666.92852,16112670950.5989,EGY,Lower middle income
2001,2.26975720475953,39.8104265402844,17.4797881237803,22.330638416504,70152661,17065868263.4731,16262006806.3462,21801850843.767,24473343373.0883,EGY,Lower middle income
2002,2.73723855000334,40.9870678279229,18.3161784111903,22.6708894167326,71485043,16090888012.984,17070813818.835,19916531416.6473,25128384451.7324,EGY,Lower middle income
2003,4.50777636319307,46.1796407185629,21.7964071856287,24.3832335329341,72826097,18074562536.0002,19432194397.1936,20219675452.3606,25450168184.2459,EGY,Lower middle income
2004,11.270619332052,57.8199052132701,28.2299608489594,29.5899443643107,74172073,22257964939.6435,24351737286.3222,23330246462.2833,29838128218.5272,EGY,Lower middle income
2005,4.86939696871987,62.9526462395543,30.3435468895079,32.6090993500464,75523569,27213830088.4366,29271280175.4508,29245707243.1424,36946623472.3959,EGY,Lower middle income
2006,7.6445264452643,61.5185365063947,29.9498138254816,31.5687226809131,76873663,32191268335.9724,35494501921.0321,33931336894.6736,44991216868.5782,EGY,Lower middle income
2007,9.31896905799233,65.077873254565,30.249731471536,34.828141783029,78232126,39469535054.8334,43759333976.2546,45443397218.0372,57950325501.4886,EGY,Lower middle income
2008,18.3168316831684,71.6806253489671,33.0429927414852,38.6376326074819,79636079,5.38e+10,56345240952.6426,62909090909.0909,73186301593.2602,EGY,Lower middle income
2009,11.7634954386444,56.5534446363462,24.9568221070812,31.596622529265,81134798,47163995067.8175,48168285952.7458,59712047581.0546,60094979017.9182,EGY,Lower middle income
2010,11.2651882653186,47.9363500745898,21.3492458146859,26.5871042599039,82761235,46731006458.167,46731006458.167,58196067048.8354,58196067048.8354,EGY,Lower middle income
2011,10.0539169045354,45.2556341623514,20.5674276128656,24.6882065494858,84529250,48539511506.6182,47313687327.9867,58264626400.6747,63088557904.3522,EGY,Lower middle income
2012,7.11815561959654,40.7117692721084,16.3969666208873,24.3148026512211,86422240,45808657936.4417,46226016357.7772,67928934856.9522,69902300882.8791,EGY,Lower middle income
2013,9.42157654022059,40.373038056332,17.0178456245969,23.3551924317351,88404640,49111159370.8311,48313425687.1218,67399869698.7559,70314298723.81,EGY,Lower middle income
2014,10.1445712037766,36.9201877934272,14.2441314553991,22.6760563380282,90424654,43520045901.169,43027566572.7491,69282077027.8993,70382965027.1592,EGY,Lower middle income
2015,10.362069735256,34.8459429600229,13.1838454928598,21.6620974671631,92442547,43862395687.2728,43010732623.448,72069373919.4359,71052461526.4854,EGY,Lower middle income
2016,13.8096682847897,30.2465490514505,10.3454639403558,19.9010851110947,94447072,34442928939.1873,36546497268.5742,66256251459.1858,69473136455.6928,EGY,Lower middle income
2017,29.5019327320389,45.1268011527377,15.8184438040346,29.3083573487032,96442593,37231733456.3312,67992308840.3143,68982825514.8276,105952112235.204,EGY,Lower middle income
2018,,48.2782710596295,18.9119754811376,29.3662955784919,98423595,47449155561.084,89855385011.412,73678496915.6918,117922513116.055,EGY,Lower middle income
2019,,,,,,,,,,EGY,Lower middle income
1993,12.0897922868977,55.9278350515464,25.8376288659794,30.090206185567,59880658,12034813925.5702,12273464269.3903,14015606242.497,19002388791.6509,EGY,Lower middle income
1994,8.15423128587101,50.6285714285714,22.5714285714286,28.0571428571429,61095804,11714116251.4828,12337580694.5644,14561091340.4508,19235263887.4559,EGY,Lower middle income
1995,15.7422305021596,50.2450980392157,22.5490196078431,27.6960784313725,62334034,13565319964.6122,13730571926.5837,16661751695.665,20064881448.818,EGY,Lower middle income
1996,7.18710369719991,46.9485614646905,20.7497820401046,26.1987794245859,63601629,14033018867.9245,13975017679.6116,17718160377.3585,19704466430.1921,EGY,Lower middle income
1997,4.6256057882644,43.7382474614517,18.8416698006769,24.8965776607747,64892270,14778761061.9469,13842675995.4496,19528023598.8201,20749265918.0642,EGY,Lower middle income
1998,3.87257546427492,41.9276270006959,16.214335421016,25.7132915796799,66200269,13754427390.791,13475421330.1767,21812278630.4604,21109268952.7885,EGY,Lower middle income
