Year;ISO_Code;Tariffs;Regulatory trade barriers;Black market exchange rates;Controls of the movement of capital and people;Freedom to Trade Internationally;;
2015;URY;7,72;5,80;10,00;7,83;7,84;;
2015;VEN;7,57;2,00;0,00;3,72;3,32;;
2015;VNM;6,53;5,24;10,00;2,31;6,02;;
2015;YEM;8,43;5,10;10,00;3,60;6,78;;
2015;ZMB;5,94;3,23;10,00;8,83;7,00;;
2015;ZWE;4,95;3,66;10,00;4,11;5,68;;
2014;ALB;8,88;7,75;10,00;6,21;8,21;;
2014;DZA;6,84;2,97;7,18;1,66;4,66;;
2014;AGO;6,96;1,57;10,00;1,79;5,08;;
2014;ARG;5,82;3,84;0,00;4,74;3,60;;
2014;ARM;8,89;7,59;10,00;7,08;8,39;;
2014;AUS;8,91;7,91;10,00;4,01;7,71;;
2014;AUT;8,43;8,80;10,00;6,05;8,32;;
2014;AZE;7,93;6,11;10,00;4,35;7,10;;
2014;BHS;3,52;8,11;10,00;5,38;6,75;;
2014;BHR;8,66;6,65;10,00;4,99;7,58;;
2014;BGD;6,68;2,81;10,00;4,65;6,03;;
2014;BRD;7,24;5,85;10,00;5,40;7,12;;
2014;BLR;;;;;;;
2014;BEL;8,43;8,83;10,00;6,47;8,43;;
2014;BLZ;6,38;8,04;10,00;4,35;7,19;;
2014;BEN;6,92;5,36;10,00;2,71;6,25;;
2014;BTN;9,81;5,24;10,00;1,45;6,63;;
2014;BOL;7,77;2,73;10,00;5,77;6,57;;
2014;BIH;8,46;7,51;10,00;5,65;7,91;;
2014;BWA;5,92;7,86;10,00;7,57;7,84;;
2014;BRA;7,20;4,84;9,81;5,94;6,95;;
2014;BRN;9,24;4,18;10,00;5,44;7,21;;
2014;BGR;8,43;7,61;10,00;6,66;8,18;;
2014;BFA;7,18;4,10;10,00;4,51;6,45;;
2014;BDI;6,90;2,67;10,00;5,43;6,25;;
2014;KHM;7,45;4,74;10,00;7,89;7,52;;
2014;CMR;5,50;2,94;10,00;2,51;5,24;;
2014;CAN;6,97;8,20;10,00;6,87;8,01;;
2014;CPV;6,69;5,27;10,00;6,14;7,02;;
2014;CAF;4,49;2,55;10,00;2,89;4,98;;
2014;TCD;6,29;2,46;10,00;2,27;5,26;;
2014;CHL;9,47;7,89;10,00;6,76;8,53;;
2014;CHN;8,22;6,30;10,00;2,64;6,79;;
2014;COL;8,02;3,89;10,00;5,68;6,90;;
2014;COD;7,75;0,00;10,00;2,31;5,02;;
2014;COG;7,30;0,00;10,00;2,97;5,07;;
2014;CRI;7,98;6,44;10,00;8,03;8,11;;
2014;CIV;5,88;3,80;10,00;3,45;5,78;;
2014;HRV;8,46;8,00;10,00;5,82;8,07;;
2014;CYP;8,43;8,31;10,00;7,20;8,49;;
2014;CZE;8,43;9,08;10,00;6,18;8,42;;
2014;DNK;8,43;8,66;10,00;7,33;8,61;;
2014;DOM;7,96;6,84;10,00;6,99;7,95;;
2014;ECU;6,29;3,12;10,00;5,57;6,24;;
2014;EGY;5,05;3,60;9,48;5,50;5,91;;
2014;SLV;8,20;7,27;10,00;6,60;8,02;;
2014;EST;8,43;8,89;10,00;6,85;8,54;;
2014;ETH;5,00;2,89;10,00;1,79;4,92;;
2014;FJI;4,78;6,42;10,00;4,83;6,51;;
2014;FIN;8,43;8,63;10,00;6,22;8,32;;
2014;FRA;8,43;8,55;10,00;6,74;8,43;;
2014;GAB;6,28;4,39;10,00;2,71;5,85;;
2014;GMB;6,48;5,54;10,00;8,60;7,66;;
2014;GEO;9,26;7,75;10,00;7,58;8,65;;
2014;DEU;8,43;8,01;10,00;5,90;8,08;;
2014;GHA;7,29;3,74;10,00;4,49;6,38;;
2014;GRC;8,43;8,14;10,00;5,55;8,03;;
2014;GTM;8,60;6,34;10,00;7,70;8,16;;
2014;GIN;7,41;3,16;5,82;2,43;4,70;;
2014;GNB;7,45;5,10;10,00;2,15;6,18;;
2014;GUY;6,48;3,84;10,00;5,62;6,49;;
2014;HTI;8,36;6,01;10,00;7,66;8,01;;
2014;HND;8,46;5,13;10,00;5,91;7,38;;
2014;HKG;10,00;9,23;10,00;8,71;9,48;;
2014;HUN;8,43;8,64;10,00;6,40;8,37;;
2014;ISL;7,18;7,02;10,00;4,34;7,13;;
2014;IND;6,16;3,70;10,00;2,41;5,57;;
2014;IDN;8,07;5,33;10,00;5,69;7,27;;
2014;IRN;4,07;2,43;4,14;1,31;2,99;;
2014;IRQ;;;;;;;
2014;IRL;8,43;8,45;10,00;8,51;8,85;;
2014;ISR;8,21;7,35;10,00;7,49;8,26;;
2014;ITA;8,43;8,14;10,00;6,49;8,27;;
2014;JAM;5,69;5,44;10,00;5,78;6,73;;
2014;JPN;7,42;6,75;10,00;7,09;7,82;;
2014;JOR;7,09;6,70;10,00;7,78;7,89;;
2014;KAZ;6,64;4,71;10,00;3,07;6,11;;
2014;KEN;6,79;4,99;10,00;4,66;6,61;;
2014;KOR;5,64;7,71;10,00;7,61;7,74;;
2014;KWT;8,84;4,30;10,00;4,40;6,89;;
2014;KGZ;8,40;6,19;10,00;5,27;7,46;;
2014;LAO;7,82;3,72;10,00;5,85;6,84;;
2014;LVA;8,43;8,47;10,00;7,07;8,49;;
2014;LBN;7,78;4,05;10,00;5,19;6,75;;
2014;LSO;4,69;7,32;10,00;4,56;6,64;;
2014;LBR;7,10;0,00;10,00;5,12;5,55;;
2014;LBY;;4,88;7,19;2,04;4,70;;
2014;LTU;8,43;8,04;10,00;5,72;8,05;;
2014;LUX;8,43;9,13;10,00;6,74;8,57;;
2014;MKD;8,22;7,81;10,00;5,62;7,91;;
2014;MDG;7,88;5,02;10,00;5,47;7,09;;
2014;MWI;7,06;4,24;7,75;5,06;6,03;;
2014;MYS;7,14;7,20;10,00;5,89;7,56;;
2014;MLI;7,61;5,05;10,00;5,31;6,99;;
2014;MLT;8,43;8,35;10,00;7,35;8,53;;
2014;MRT;7,38;5,63;10,00;3,29;6,58;;
2014;MUS;9,42;7,37;10,00;7,41;8,55;;
2014;MEX;7,56;7,44;10,00;5,39;7,60;;
2014;MDA;8,67;7,13;10,00;4,00;7,45;;
2014;MNG;9,24;4,95;10,00;4,79;7,24;;
2014;MNE;8,19;8,00;10,00;7,44;8,41;;
2014;MAR;6,88;4,79;10,00;4,80;6,62;;
2014;MOZ;7,92;5,64;10,00;2,36;6,48;;
2014;MMR;8,33;3,75;10,00;1,28;5,84;;
2014;NAM;5,13;5,73;10,00;4,54;6,35;;
2014;NPL;6,27;5,85;10,00;4,80;6,73;;
2014;NLD;8,43;8,65;10,00;7,90;8,75;;
2014;NZL;9,15;8,73;10,00;7,36;8,81;;
2014;NIC;8,49;4,83;10,00;7,03;7,59;;
2014;NER;6,24;3,31;10,00;3,25;5,70;;
2014;NGA;7,07;2,51;10,00;4,55;6,03;;
2014;NOR;6,12;6,16;10,00;6,37;7,16;;
2014;OMN;8,77;7,04;10,00;6,41;8,05;;
2014;PAK;6,95;3,81;10,00;2,52;5,82;;
2014;PAN;7,89;7,24;10,00;9,21;8,58;;
2014;PNG;7,04;4,57;10,00;6,65;7,07;;
2014;PRY;7,93;4,80;10,00;5,24;6,99;;
2014;PER;9,08;6,14;10,00;8,42;8,41;;
2014;PHL;7,62;5,16;10,00;5,47;7,06;;
2014;POL;8,43;8,17;10,00;5,54;8,04;;
2014;PRT;8,43;8,73;10,00;6,39;8,39;;
2014;QAT;8,60;7,71;10,00;5,46;7,94;;
2014;ROU;8,43;8,14;10,00;7,49;8,52;;
2014;RUS;5,03;4,62;10,00;4,78;6,11;;
2014;RWA;7,10;3,87;10,00;5,74;6,68;;
2014;SAU;8,50;4,15;10,00;2,65;6,32;;
2014;SEN;7,45;6,20;10,00;4,03;6,92;;
2014;SRB;8,32;7,67;10,00;4,65;7,66;;
2014;SYC;9,23;5,47;10,00;7,96;8,17;;
2014;SLE;7,92;3,61;10,00;3,19;6,18;;
2014;SGP;9,99;9,02;10,00;8,97;9,49;;
2014;SVK;8,43;8,99;10,00;7,28;8,68;;
2014;SVN;8,43;8,50;10,00;5,43;8,09;;
2014;ZAF;7,36;4,94;10,00;5,27;6,89;;
2014;ESP;8,43;8,26;10,00;5,82;8,13;;
2014;LKA;5,52;5,28;10,00;2,33;5,78;;
2014;SDN;;;;;;;
2014;SUR;7,48;5,86;10,00;4,42;6,94;;
2014;SWZ;4,65;7,87;10,00;5,34;6,96;;
2014;SWE;8,43;9,13;10,00;6,36;8,48;;
2014;CHE;6,19;7,64;10,00;6,18;7,50;;
2014;SYR;5,23;4,03;6,97;1,80;4,51;;
2014;TWN;7,59;6,96;10,00;6,19;7,68;;
2014;TJK;8,41;3,98;10,00;2,82;6,30;;
2014;TZA;7,06;3,27;10,00;5,51;6,46;;
2014;THA;6,90;6,75;10,00;4,79;7,11;;
2014;TLS;9,59;4,70;;6,90;7,06;;
2014;TGO;7,38;4,10;10,00;2,58;6,01;;
2014;TTO;7,52;6,41;10,00;7,70;7,91;;
2014;TUN;7,19;6,72;9,50;5,95;7,34;;
2014;TUR;5,97;7,65;10,00;5,80;7,35;;
2014;UGA;6,95;4,05;10,00;8,80;7,45;;
2014;UKR;8,83;4,51;7,81;3,45;6,15;;
2014;ARE;8,83;7,86;10,00;6,18;8,22;;
2014;GBR;8,43;8,20;10,00;7,22;8,46;;
2014;USA;8,40;8,14;10,00;3,75;7,57;;
2014;URY;7,72;4,81;10,00;7,76;7,57;;
2014;VEN;7,57;1,83;0,00;3,44;3,21;;
2014;VNM;7,58;4,79;10,00;2,67;6,26;;
2014;YEM;8,44;5,83;10,00;3,77;7,01;;
2014;ZMB;7,42;3,68;10,00;9,00;7,53;;
2014;ZWE;5,10;4,45;10,00;4,08;5,91;;
2013;ALB;8,97;5,95;10,00;5,90;7,71;;
2013;DZA;6,86;5,81;5,27;1,63;4,90;;
2013;AGO;8,38;3,63;10,00;1,79;5,95;;
2013;ARG;6,05;5,25;0,00;4,08;3,85;;
2013;ARM;8,90;6,60;10,00;6,82;8,08;;
2013;AUS;8,99;7,39;10,00;3,88;7,56;;
2013;AUT;8,25;7,32;10,00;5,70;7,82;;
2013;AZE;7,98;5,98;10,00;3,70;6,91;;
2013;BHS;3,28;7,76;10,00;5,38;6,61;;
2013;BHR;8,55;7,38;10,00;4,77;7,67;;
2013;BGD;6,67;5,90;10,00;4,32;6,72;;
2013;BRD;7,16;7,84;10,00;5,40;7,60;;
2013;BLR;;;;;;;
2013;BEL;8,25;7,52;10,00;6,37;8,03;;
2013;BLZ;6,64;7,14;10,00;4,48;7,07;;
2013;BEN;6,92;6,91;10,00;3,33;6,79;;
2013;BTN;9,82;4,96;10,00;1,45;6,56;;
2013;BOL;7,77;5,49;10,00;6,29;7,39;;
2013;BIH;8,48;6,18;10,00;5,30;7,49;;
2013;BWA;6,06;5,68;10,00;7,28;7,26;;
2013;BRA;7,18;6,47;9,45;5,43;7,13;;
2013;BRN;8,66;6,24;10,00;5,35;7,56;;
2013;BGR;8,25;6,39;10,00;6,47;7,78;;
2013;BFA;7,04;4,58;10,00;4,51;6,53;;
2013;BDI;6,90;4,45;10,00;4,71;6,51;;
2013;KHM;7,66;6,14;10,00;7,73;7,88;;
2013;CMR;5,47;5,79;10,00;2,70;5,99;;
2013;CAN;7,01;7,19;10,00;6,42;7,65;;
2013;CPV;6,69;6,20;10,00;6,34;7,31;;
2013;CAF;4,49;3,33;10,00;3,17;5,25;;
2013;TCD;6,29;1,81;10,00;2,22;5,08;;
2013;CHL;9,47;7,22;10,00;6,49;8,29;;
2013;CHN;8,11;6,34;10,00;2,52;6,74;;
2013;COL;8,02;6,55;10,00;5,67;7,56;;
2013;COD;7,74;3,54;10,00;2,31;5,90;;
2013;COG;7,31;2,60;10,00;1,54;5,36;;
2013;CRI;8,00;6,45;10,00;7,93;8,10;;
2013;CIV;6,50;5,72;10,00;3,14;6,34;;
2013;HRV;8,28;6,98;10,00;5,44;7,68;;
2013;CYP;8,25;7,99;10,00;4,54;7,70;;
2013;CZE;8,25;6,63;10,00;5,95;7,71;;
2013;DNK;8,25;7,63;10,00;7,38;8,32;;
2013;DOM;7,97;7,02;10,00;6,69;7,92;;
2013;ECU;6,60;5,79;10,00;6,44;7,21;;
2013;EGY;5,05;6,55;10,00;4,63;6,56;;
2013;SLV;8,17;6,48;10,00;5,75;7,60;;
2013;EST;8,25;7,87;10,00;6,89;8,25;;
2013;ETH;5,00;4,36;10,00;1,57;5,23;;
2013;FJI;4,98;5,79;10,00;4,84;6,40;;
2013;FIN;8,25;7,90;10,00;5,83;8,00;;
2013;FRA;8,25;7,11;10,00;6,57;7,98;;
2013;GAB;6,31;6,30;10,00;2,71;6,33;;
2013;GMB;6,48;6,62;10,00;8,06;7,79;;
2013;GEO;9,38;8,01;10,00;7,18;8,64;;
2013;DEU;8,25;7,22;10,00;5,76;7,81;;
2013;GHA;7,31;5,38;10,00;4,01;6,67;;
2013;GRC;8,25;7,34;10,00;5,39;7,75;;
2013;GTM;8,59;6,73;10,00;7,68;8,25;;
2013;GIN;7,41;5,13;5,80;2,43;5,19;;
2013;GNB;7,45;3,35;10,00;0,77;5,39;;
2013;GUY;6,48;6,39;10,00;5,52;7,10;;
2013;HTI;8,36;5,60;10,00;7,66;7,90;;
2013;HND;8,48;6,54;10,00;5,42;7,61;;
2013;HKG;10,00;8,43;10,00;8,50;9,23;;
2013;HUN;8,25;6,82;10,00;6,02;7,77;;
2013;ISL;6,24;6,74;10,00;3,98;6,74;;
2013;IND;6,16;6,30;10,00;1,90;6,09;;
2013;IDN;8,04;6,14;10,00;5,26;7,36;;
2013;IRN;4,07;5,31;5,86;1,29;4,13;;
2013;IRQ;;;;;;;
2013;IRL;8,25;7,76;10,00;8,73;8,69;;
2013;ISR;8,28;7,02;10,00;7,14;8,11;;
2013;ITA;8,25;6,48;10,00;6,04;7,69;;
2013;JAM;7,38;7,08;10,00;5,31;7,44;;
2013;JPN;6,93;6,75;10,00;7,37;7,76;;
2013;JOR;7,10;6,85;10,00;7,60;7,89;;
2013;KAZ;6,43;3,25;10,00;3,08;5,69;;
2013;KEN;6,81;5,69;10,00;4,46;6,74;;
2013;KOR;5,62;7,09;10,00;7,16;7,47;;
2013;KWT;8,86;6,11;10,00;4,61;7,40;;
2013;KGZ;8,47;3,21;10,00;5,62;6,82;;
2013;LAO;;;;;;;
2013;LVA;8,25;7,39;10,00;7,12;8,19;;
2013;LBN;7,31;6,15;10,00;5,19;7,16;;
2013;LSO;4,68;5,19;10,00;4,33;6,05;;
2013;LBR;;;;;;;
2013;LBY;;5,24;10,00;1,29;5,51;;
2013;LTU;8,25;6,98;10,00;5,64;7,72;;
2013;LUX;8,25;8,15;10,00;6,69;8,27;;
2013;MKD;8,22;7,03;10,00;5,84;7,77;;
2013;MDG;7,89;6,02;10,00;5,07;7,24;;
2013;MWI;7,11;5,48;8,02;4,74;6,34;;
2013;MYS;7,13;7,79;10,00;6,02;7,73;;
2013;MLI;7,52;4,76;10,00;5,09;6,84;;
2013;MLT;8,25;7,19;10,00;7,13;8,14;;
2013;MRT;7,64;4,45;10,00;2,51;6,15;;
2013;MUS;9,39;7,42;10,00;7,17;8,49;;
2013;MEX;7,18;7,04;10,00;5,33;7,39;;
2013;MDA;8,67;6,00;10,00;3,74;7,10;;
2013;MNG;9,13;4,59;10,00;4,99;7,18;;
2013;MNE;8,13;6,81;10,00;6,91;7,96;;
2013;MAR;6,17;7,31;10,00;5,12;7,15;;
2013;MOZ;7,94;6,30;10,00;2,40;6,66;;
2013;MMR;8,37;6,05;10,00;1,28;6,43;;
2013;NAM;5,27;6,29;10,00;4,46;6,50;;
2013;NPL;6,22;4,93;10,00;4,73;6,47;;
2013;NLD;8,25;7,78;10,00;8,12;8,54;;
2013;NZL;9,16;8,09;10,00;7,18;8,61;;
2013;NIC;8,46;5,94;10,00;6,94;7,84;;
2013;NER;6,24;3,30;10,00;2,28;5,46;;
2013;NGA;7,24;6,02;10,00;4,72;7,00;;
2013;NOR;6,12;7,47;10,00;6,34;7,48;;
2013;OMN;8,62;7,45;10,00;6,42;8,12;;
2013;PAK;6,87;6,47;10,00;2,24;6,39;;
2013;PAN;7,85;7,32;10,00;9,13;8,57;;
2013;PNG;7,12;6,13;10,00;7,39;7,66;;
2013;PRY;7,94;5,74;10,00;5,68;7,34;;
2013;PER;9,08;6,71;10,00;7,95;8,44;;
2013;PHL;7,71;6,90;10,00;5,65;7,57;;
2013;POL;8,25;6,84;10,00;5,36;7,61;;
2013;PRT;8,25;7,55;10,00;6,00;7,95;;
2013;QAT;8,59;6,92;10,00;5,21;7,68;;
2013;ROU;8,25;6,60;10,00;7,15;8,00;;
2013;RUS;4,64;6,10;10,00;4,71;6,36;;
2013;RWA;7,13;6,04;10,00;5,74;7,23;;
2013;SAU;8,41;6,87;10,00;2,42;6,93;;
2013;SEN;7,41;6,74;10,00;3,78;6,98;;
2013;SRB;8,32;6,83;10,00;4,29;7,36;;
2013;SYC;9,05;6,73;10,00;7,96;8,44;;
2013;SLE;7,96;6,20;10,00;3,19;6,84;;
2013;SGP;8,35;8,44;10,00;8,55;8,84;;
2013;SVK;8,25;6,89;10,00;6,73;7,97;;
2013;SVN;8,25;6,94;10,00;4,72;7,48;;
2013;ZAF;6,96;6,88;10,00;4,98;7,21;;
2013;ESP;8,25;7,22;10,00;5,60;7,77;;
2013;LKA;6,37;6,56;10,00;2,24;6,29;;
2013;SDN;;;;;;;
2013;SUR;7,48;6,85;10,00;3,98;7,08;;
2013;SWZ;4,58;6,66;10,00;5,34;6,64;;
2013;SWE;8,25;7,48;10,00;5,87;7,90;;
2013;CHE;6,18;7,03;10,00;5,84;7,26;;
2013;SYR;5,23;3,58;5,20;0,28;3,57;;
2013;TWN;7,84;7,53;10,00;6,14;7,88;;
2013;TJK;8,47;2,58;10,00;2,73;5,95;;
2013;TZA;7,06;5,94;10,00;5,10;7,03;;
2013;THA;6,92;6,97;10,00;4,66;7,14;;
2013;TLS;9,62;5,77;;6,67;7,35;;
2013;TGO;7,46;6,30;10,00;3,20;6,74;;
2013;TTO;7,55;7,52;10,00;7,36;8,11;;
2013;TUN;6,97;6,22;10,00;5,36;7,13;;
2013;TUR;5,94;6,86;10,00;5,39;7,05;;
2013;UGA;7,04;5,78;10,00;8,40;7,81;;
2013;UKR;8,80;5,55;10,00;3,33;6,92;;
2013;ARE;8,81;8,33;10,00;6,32;8,36;;
2013;GBR;8,25;7,60;10,00;7,24;8,27;;
2013;USA;8,41;7,47;10,00;3,62;7,37;;
2013;URY;7,74;6,97;10,00;7,52;8,06;;
2013;VEN;7,51;2,38;0,00;3,39;3,32;;
2013;VNM;7,55;6,26;10,00;2,41;6,56;;
2013;YEM;8,44;5,38;10,00;3,78;6,90;;
2013;ZMB;7,38;4,19;10,00;8,73;7,58;;
2013;ZWE;4,38;3,89;10,00;4,09;5,59;;
2012;ALB;8,96;6,28;10,00;3,22;7,12;;
2012;DZA;6,86;5,55;7,20;1,61;5,31;;
2012;AGO;8,32;4,34;10,00;1,91;6,14;;
2012;ARG;5,66;4,87;1,20;3,08;3,70;;
2012;ARM;8,90;6,42;10,00;4,03;7,34;;
2012;AUS;9,20;7,63;10,00;4,01;7,71;;
2012;AUT;8,21;7,63;10,00;5,29;7,78;;
2012;AZE;7,97;5,84;10,00;3,34;6,79;;
2012;BHS;3,24;7,76;10,00;4,37;6,34;;
2012;BHR;8,46;7,39;10,00;4,95;7,70;;
2012;BGD;6,59;5,75;10,00;1,84;6,04;;
2012;BRD;6,02;7,61;10,00;5,71;7,34;;
2012;BLR;;;;;;;
2012;BEL;8,21;7,82;10,00;6,06;8,02;;
2012;BLZ;6,57;7,44;10,00;4,22;7,06;;
2012;BEN;6,85;5,15;10,00;1,47;5,87;;
2012;BTN;;;;;;;
2012;BOL;7,92;5,63;10,00;4,41;6,99;;
2012;BIH;8,09;6,49;10,00;4,67;7,31;;
2012;BWA;5,23;5,89;10,00;6,15;6,82;;
2012;BRA;7,19;6,43;9,61;4,99;7,06;;
2012;BRN;8,66;6,57;10,00;5,34;7,64;;
2012;BGR;8,21;6,03;10,00;6,02;7,57;;
2012;BFA;7,38;4,55;10,00;2,13;6,01;;
2012;BDI;6,84;4,27;10,00;1,12;5,55;;
2012;KHM;7,67;6,12;10,00;4,57;7,09;;
2012;CMR;5,50;6,02;10,00;2,82;6,09;;
2012;CAN;6,92;7,23;10,00;6,47;7,65;;
2012;CPV;6,69;6,03;10,00;3,62;6,58;;
2012;CAF;4,52;2,87;10,00;0,77;4,54;;
2012;TCD;6,33;1,77;10,00;1,85;4,99;;
2012;CHL;9,47;7,25;10,00;5,40;8,03;;
2012;CHN;8,13;6,18;10,00;2,33;6,66;;
2012;COL;7,98;6,36;10,00;5,07;7,35;;
2012;COD;7,74;2,54;10,00;0,38;5,17;;
2012;COG;7,34;2,60;10,00;0,77;5,18;;
2012;CRI;8,04;6,47;10,00;8,01;8,13;;
2012;CIV;6,72;5,42;10,00;3,35;6,37;;
2012;HRV;8,71;6,71;10,00;5,19;7,65;;
2012;CYP;8,21;7,91;10,00;4,45;7,64;;
2012;CZE;8,21;6,62;10,00;6,86;7,92;;
2012;DNK;8,21;7,74;10,00;6,84;8,20;;
2012;DOM;7,95;6,68;10,00;5,85;7,62;;
2012;ECU;6,60;5,79;10,00;6,17;7,14;;
2012;EGY;5,06;6,30;10,00;3,25;6,15;;
2012;SLV;8,19;6,33;10,00;4,17;7,17;;
2012;EST;8,21;8,02;10,00;6,71;8,24;;
2012;ETH;5,08;4,06;10,00;1,58;5,18;;
2012;FJI;4,67;7,28;10,00;4,48;6,61;;
2012;FIN;8,21;8,18;10,00;7,01;8,35;;
2012;FRA;8,21;7,41;10,00;6,15;7,94;;
2012;GAB;6,33;5,88;10,00;2,70;6,23;;
2012;GMB;6,48;6,45;10,00;7,09;7,50;;
2012;GEO;9,23;7,80;10,00;6,72;8,44;;
2012;DEU;8,21;7,35;10,00;5,59;7,79;;
2012;GHA;7,29;5,52;10,00;3,98;6,70;;
2012;GRC;8,21;7,19;10,00;4,91;7,58;;
2012;GTM;8,52;6,77;10,00;7,46;8,19;;
2012;GIN;;;;;;;
2012;GNB;7,45;6,69;10,00;0,38;6,13;;
2012;GUY;6,47;6,35;10,00;5,27;7,02;;
2012;HTI;8,80;5,04;10,00;4,31;7,04;;
2012;HND;8,45;6,48;10,00;5,06;7,50;;
2012;HKG;10,00;8,71;10,00;8,74;9,36;;
2012;HUN;8,21;6,74;10,00;5,58;7,63;;
2012;ISL;6,68;6,91;10,00;3,47;6,77;;
2012;IND;6,07;6,60;10,00;2,02;6,17;;
2012;IDN;7,90;6,40;10,00;2,93;6,81;;
2012;IRN;4,07;5,32;0,00;0,95;2,58;;
2012;IRQ;;;;;;;
2012;IRL;8,21;7,72;10,00;8,67;8,65;;
2012;ISR;7,84;7,01;10,00;6,58;7,86;;
2012;ITA;8,21;6,50;10,00;5,74;7,61;;
2012;JAM;7,45;6,91;10,00;4,70;7,27;;
2012;JPN;7,14;6,74;10,00;5,70;7,39;;
2012;JOR;7,05;6,94;10,00;7,62;7,90;;
2012;KAZ;7,12;3,27;10,00;2,53;5,73;;
2012;KEN;6,85;5,49;10,00;4,28;6,66;;
2012;KOR;5,64;7,09;10,00;7,48;7,55;;
2012;KWT;8,86;6,26;10,00;4,14;7,31;;
2012;KGZ;8,56;2,84;10,00;4,62;6,50;;
2012;LAO;;;;;;;
2012;LVA;8,21;7,43;10,00;6,61;8,06;;
2012;LBN;7,19;5,92;10,00;5,13;7,06;;
2012;LSO;4,00;5,44;10,00;5,12;6,14;;
2012;LBR;;;;;;;
2012;LBY;;;;;;;
2012;LTU;8,21;7,25;10,00;4,91;7,60;;
2012;LUX;8,21;8,07;10,00;6,23;8,13;;
2012;MKD;8,22;7,00;10,00;5,49;7,68;;
2012;MDG;7,85;5,79;10,00;1,82;6,36;;
2012;MWI;7,26;4,86;8,74;4,58;6,36;;
2012;MYS;6,93;7,53;10,00;5,94;7,60;;
2012;MLI;7,69;5,18;10,00;2,58;6,36;;
2012;MLT;8,21;7,50;10,00;6,70;8,10;;
2012;MRT;7,64;4,78;10,00;2,40;6,20;;
2012;MUS;9,34;7,52;10,00;6,75;8,40;;
2012;MEX;6,95;7,14;10,00;4,13;7,05;;
2012;MDA;8,67;5,45;10,00;3,13;6,81;;
2012;MNG;9,16;4,14;10,00;4,29;6,90;;
2012;MNE;8,18;6,77;10,00;5,97;7,73;;
2012;MAR;6,13;7,34;10,00;5,05;7,13;;
2012;MOZ;7,97;6,07;10,00;2,39;6,61;;
2012;MMR;8,02;5,67;10,00;1,26;6,24;;
2012;NAM;5,12;6,16;10,00;4,06;6,33;;
2012;NPL;6,36;4,58;10,00;4,65;6,40;;
2012;NLD;8,21;8,02;10,00;7,63;8,47;;
2012;NZL;9,14;8,30;10,00;6,59;8,51;;
2012;NIC;8,48;5,76;10,00;6,86;7,78;;
2012;NER;6,24;1,51;10,00;0,00;4,44;;
2012;NGA;7,26;5,70;10,00;3,75;6,68;;
2012;NOR;6,10;7,48;10,00;5,91;7,37;;
2012;OMN;8,55;7,75;10,00;6,77;8,27;;
2012;PAK;6,90;6,28;10,00;2,29;6,37;;
2012;PAN;7,85;7,30;10,00;7,73;8,22;;
2012;PNG;7,06;6,24;10,00;4,79;7,02;;
2012;PRY;7,89;5,68;9,52;5,15;7,06;;
2012;PER;9,01;6,78;10,00;8,08;8,47;;
2012;PHL;7,61;6,85;10,00;2,33;6,69;;
2012;POL;8,21;6,59;10,00;4,60;7,35;;
2012;PRT;8,21;7,58;10,00;5,76;7,89;;
2012;QAT;8,59;7,66;10,00;4,92;7,79;;
2012;ROU;8,21;6,42;10,00;6,32;7,74;;
2012;RUS;4,48;5,82;10,00;3,88;6,05;;
2012;RWA;6,93;5,95;10,00;5,60;7,12;;
2012;SAU;6,33;7,10;10,00;2,57;6,50;;
2012;SEN;7,39;6,86;10,00;3,93;7,05;;
2012;SRB;8,32;6,58;10,00;3,76;7,17;;
2012;SYC;;;;;;;
2012;SLE;7,80;6,11;10,00;3,58;6,87;;
2012;SGP;8,42;8,51;10,00;8,52;8,86;;
2012;SVK;8,21;6,87;10,00;6,39;7,87;;
2012;SVN;8,21;6,93;10,00;4,31;7,36;;
2012;ZAF;6,93;6,83;10,00;5,05;7,20;;
2012;ESP;8,21;7,46;10,00;5,20;7,72;;
2012;LKA;6,26;6,21;10,00;5,10;6,89;;
2012;SDN;;;;;;;
2012;SUR;7,50;6,75;10,00;2,43;6,67;;
2012;SWZ;4,56;6,35;10,00;3,95;6,21;;
2012;SWE;8,21;7,78;10,00;5,50;7,87;;
2012;CHE;6,06;6,94;10,00;5,82;7,20;;
2012;SYR;6,24;6,59;3,18;1,58;4,40;;
2012;TWN;7,72;7,48;10,00;5,68;7,72;;
2012;TJK;8,46;3,53;10,00;3,23;6,30;;
2012;TZA;7,11;5,57;10,00;3,39;6,52;;
2012;THA;7,48;7,01;10,00;3,12;6,90;;
2012;TLS;9,35;5,28;;6,61;7,08;;
2012;TGO;7,48;6,34;10,00;0,50;6,08;;
2012;TTO;7,64;7,14;10,00;5,91;7,67;;
2012;TUN;6,97;6,57;10,00;4,72;7,06;;
2012;TUR;6,32;6,66;10,00;6,00;7,25;;
2012;UGA;7,12;5,42;10,00;6,15;7,17;;
2012;UKR;8,65;5,37;10,00;2,79;6,70;;
2012;ARE;8,82;8,35;10,00;5,63;8,20;;
2012;GBR;8,21;7,81;10,00;8,20;8,55;;
2012;USA;8,44;7,56;10,00;4,80;7,70;;
2012;URY;7,78;6,81;10,00;7,38;7,99;;
2012;VEN;7,53;2,19;0,00;3,28;3,25;;
2012;VNM;7,52;6,06;10,00;2,37;6,49;;
2012;YEM;8,54;5,18;10,00;3,55;6,82;;
